title,tag_stem
Everybody Wants Some!!,comedy annapurna pictures comedy follows group friends navigate freedoms responsibilities unsupervised adulthood
Keanu,action comedy line cinema friends hatch plot retrieve stolen posing drug dealers street gang
The Neon Demon,thriller horror bold films amazon studios vendian entertainment space rocket nation aspiring model jesse moves angeles youth vitality devoured group beautyobsessed women take means necessary
My Big Fat Greek Wedding 2,greek wedding collection romance comedy family universal pictures playtone films gold circle films continuing adventures portokalos family followup comedy greek wedding
Florence Foster Jenkins,comedy drama films qwerty films path story florence foster jenkins york heiress dreamed becoming opera singer despite terrible singing voice
Paterson,comedy drama romance amazon studios film animal kingdom inkjet productions present paterson jersey tale driver poet
Swiss Army Man,comedy drama romance fantasy adventure blackbird tadmor alone tiny deserted island hank given hope ever making home everything changes dead body washes ashore soon realizes last opportunity escape certain death armed friend unusual tricks epic adventure bring hank back woman dreams
Finding Dory,finding nemo collection adventure animation comedy family walt disney pictures pixar animation studios hurwitz creative dory reunited friends nemo marlin search answers past remember parents learn speak whale
The Handmaiden,thriller drama romance entertainment moho film yong film korea period japanese occupation girl sookee hired handmaiden japanese heiress hideko lives secluded life large countryside estate domineering uncle kouzuki maid secret pickpocket recruited swindler posing japanese count help seduce lady elope fortune lock madhouse plan seems proceed according plan sookee hideko discover unexpected emotions
Café Society,comedy drama romance gravier productions perdido productions story young arrives hollywood hoping work film industry falls love finds swept vibrant society defined spirit
Now You See Me 2,collection action adventure comedy crime mystery thriller summit entertainment lionsgate paper products films year outwitting winning public adulation mindbending spectacles four horsemen resurface find face face enemy enlists pull dangerous heist
Captain Fantastic,adventure comedy drama romance electric city entertainment shivhans pictures post haste digital father living forests pacific northwest young kids tries assimilate back society
10 Cloverfield Lane,thriller science fiction drama paramount pictures robot spectrum effects accident michelle awakens find mysterious bunker named howard emmett howard offers pair crutches help remain mobile injury sustained crash tells good leaving bunker given information alien attack outside world poisoned however howard emmetts intentions soon become questionable michelle faced question better
Sausage Party,adventure animation comedy fantasy columbia pictures sony pictures animation sony pictures entertainment annapurna pictures point grey pictures nitrogen studios canada sausage party first rrated animated movie sausage leading group supermarket products quest discover truth existence really happens become chosen leave grocery store
The BFG,adventure family fantasy walt disney pictures amblin entertainment reliance entertainment kennedymarshall company walden media ordinary bonecrunching giant nice jumbly lucky sophie carried middle night bloodbottler giants rather would soon become breakfast sophie hears giants flushbunking england swollomp nice little chiddlers decides must stop going help
Before I Wake,drama fantasy horror thriller intrepid pictures relativity media demarest films mica entertainment orphaned child whose dreams nightmares manifest physically sleeps
